Código de artículo;Nombre del producto;Sección de producción;Nombre de búsqueda;Tipo de producto;Subtipo de producto;Grupo de dimensiones de producto;Código 1;Código 2;Código 3;Código 4;Grupo 1;Grupo 2;Tipo de producción
40100001;PES BEIGE RAL-1002 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100002;PES GRIS RAL-7012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100003;PES GRIS RAL-7040 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100004;PES AZUL RAL 5010 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100006;PES GRIS RAL 7022 C-III  131;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100007;PES NEGRO C-II  9-S;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100009;PES AZUL RAL 5013 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100010;PES MET. GRIS MEDIO RAL-9007 C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100011;PES ANODIZADO BRONCE C-I (51);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100012;PES BEIGE RAL-1013 C-III (/24);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100013;PES ROJO RAL-3005 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100014;PES VERDE RAL-6005 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100015;PES VERDE RAL-6012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100016;PES BLANCO TR NIEVE HLLD C-III;5;40100016;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100017;PES VERDE RAL 6014 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100019;PES MET.NEGRO DOR.CLARO C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100020;PES VERDE RAL-6009 C-III (/79);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100021;PES GRIS RAL-7013 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100022;PES MARRON RAL-8014 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100023;PES MET.NEGRO DORA. C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100024;PES ROJO RAL-3007 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100025;PES GRIS RAL 7030 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100026;PES MARFIL RAL 1015 C-III (/23);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100027;PES GRIS RAL-7032 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100028;PES GRIS RAL-7037 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100029;PES GRIS RAL-7011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100030;PES BLANCO S/M C-II (/26);5;40100030;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100031;PES MARRON SAT C-II TESTA DI MORO (/40);5;40100031;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100032;PES MARRON RAL-8007 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100033;PES MARRON RAL 8024 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100034;PES MATE NEGRO METALIZADO  (BRONCE USA);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100035;PES GRIS METALIZADO S/M /323;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100036;PES BEIGE GAVIOTA S/M C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100037;PES GRIS RAL-7034 CIII;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100038;PES AMARILLO RAL-1003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100039;PES BEIGE RAL-1020 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100040;PES GRIS RAL 7039 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100041;PES GRIS RAL-7038 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100042;PES MET. GRIS PLATA;5;40100042;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100043;PES GRIS CORPORATIVO RAL-7015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100044;PES MARRON RAL- 8017 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100045;EPOXI BRONCE METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100046;POLIESTER TRANSPARENTE C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100047;PES MARRON RAL- 8004 C-III  /299;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100048;PES VERDE RAL- 6002 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100049;PES BEIGE RAL-1011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100050;PES MARRON RAL- 8019 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100051;PES GRIS RAL- 7031 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100052;PES RAL- 7048 C-III INOX PERSIANA;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100053;PES MARRON RAL 8022 CI;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100054;PES MARRON RAL 8012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100055;PES GRIS RAL-7010 S/M  C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100056;PES GRIS RAL-7016 C-III (/31);5;40100056;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100057;PES GRIS RAL-7036 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100058;PES GRIS RAL GRIS C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100059;PES MARRON RAL-8002 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100060;PES BLANCO RAL- 9010  C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100061;PES GRIS RAL-7035  C-III  177;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100062;PES GRIS RAL-7046  C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100063;PES GRIS RAL-7044 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100064;PES ROJO RAL-3004 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100065;PES MARRON RAL-8003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100066;PES BLANCO RAL 9003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100067;PES BLANCO S/M C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100068;PES BLANCO SIMBAC RAL-9016 (/16);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100069;BLANCO CREMA RAL-9001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100070;BLANCO SIMBAC GHIACCIO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100071;PES GRIS C-II (/30);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100072;PES GRIS METALIZADO ZIURI (/50);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100073;PES AZUL RAL- 5008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100074;PES ROJO RAL- 3020 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100075;PES GRIS RAL- 7009 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100076;PES BEIGE RAL -1001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100077;PES AZUL RAL- 5011  C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100078;PES GRIS RAL- 7043 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100079;PES GRIS RAL- 7002 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100080;PES BEIGE RAL- 1035 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100081;PES MARFIL TEXTURADO AUST S/M (/247);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100082;PES BEIGE TEXTURADO AUST S/M (/241);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100083;PES BL-GRISACEO TEXTURADO AUST S/M (/225);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100084;PES VERDE RAL- 6021 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100085;PES MARRON RAL 8012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100086;PES GRIS RAL-7024 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100087;PES GRIS RAL-7042 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100088;PES MARRON RAL- 8028 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100089;PES MARRON RAL- 8001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100090;PES GRIS CLARO RAL-9002;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100091;PES GRIS RAL- 7004 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100092;PES MARRON RAL- 8016 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100093;PES AZUL RAL- 5007 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100094;PES VERDE RAL -6006 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100095;PES AZUL RAL- 5021 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100096;PUR  MADERA CLARA P/PLACA;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100097;PUR MATE MADERA OSCURO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100098;PES MARRON 8024 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100099;PES NEGRO MATE 9005 C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100100;PES BLANCO SATINADO B-65 C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100101;PES AZUL RAL-5024 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100102;PES AZUL RAL-5002 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100103;PES GRIS RAL-7026 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100104;PES ROJO RAL-3009 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100105;PES GRIS RAL-7047 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100106;HIBRIDO GRIS RAL-7021 (ko);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100107;PES GRIS RAL 7039 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100108;PES GRIS RAL-7001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100109;PES GRIS METALIZADO RAL-9022;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100110;PES GRIS RAL-7005 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100111;PES GRIS RAL-7033 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100112;PES VERDE RAL-6007 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100113;PES ROJO CORPORATIVO RAL-3000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100114;PES AZUL RAL-5003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100115;PES AZUL MOTEADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100116;PES AZUL RAL-5004 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100117;PES BLANCO NIEVE NG C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100118;PES AZUL RAL-5009 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100119;HIBRIDO AZUL RAL-5013;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100120;PES AMARILLO RAL-1018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100121;PES MARRON 8019 C-III 68-S;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100122;PES TEST.GRIS GRANITO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100123;"HIBRIDO NARANJA S/M ""RAPIDO""";5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100124;PES MARRON RAL-8015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100125;BLANCO LISO BRILLANTE BLANCO LACADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100126;BLANCO LISO BRILLANTE RAL-9010 LT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100127;PES MARRON RAL-1036 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100128;PES RAL-3000 SP C-III /47 NS 22;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100129;PES AZUL RAL-5001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100130;PES AZUL RAL-5015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100131;PES NEGRO ANODIZADO BRONCE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100132;PES GRIS RAL-7037 METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100133;PES BEIGE S/M C-III (/22);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100134;PES BLANCO GHIACCIO SIMBAC (/25);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100135;PES AZUL RAL 5014 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100136;PES BEIGE RAL 1019 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100137;PES MARRON RAL 8008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100138;PES MARRON RAL 8011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100139;PES VERDE RAL 6020 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100140;PES GRIS INOX RX-7320-XW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100141;PES GRIS RAL 7006 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100142;PES NEGRO RAL 9011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100143;PES AMARILLO RAL 1023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100144;PES GRIS TITANIO RAL HX-7136-X;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100145;PES AZUL RAL 5005 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100146;PES GRIS OSCURO MOTEADO PM-7315-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100147;PES ROJO SALMON RAL 3012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100148;PES AZUL RAL RX-5025-XW METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100149;PES GRIS GRAFITO MOTEADO RX-7131-IW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100150;PES REACTIVO AZUL RAL 5012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100151;PES GRIS RX-7140-IW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100152;PES ROJO RAL 3011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100153;HIBRIDO FUTURE TIRANTES GAVIOTA;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100154;PES AZUL RAL 5000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100155;PES VERDE RAL 6003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100156;PES AZUL RAL 5023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100157;PES ROJO RAL 3003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100159;PES ROJO RAL 3013 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100160;PES VERDE RAL 6033 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100161;PES VERDE RAL 6015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100162;PES GRIS RAL 7021 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100163;PES VERDE RAL 6016 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100164;PES COBRE MET. RAL RX-2103-XW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100165;PES GRIS RAL 7045 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100166;PES GRIS FORJA RF-7107-XW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100167;PES AZUL RAL 5017 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100168;PES GRIS RAL 9018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100169;PES VIOLETA RAL 4008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100170;PES VERDE RAL 6008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100171;PES GRIS RAL 7003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100172;PES AZUL RAL 5020 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100173;PES GRIS RAL 7008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100175;PES AMARILLO RAL 1007 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100176;PES GRIS METALIZADO RAL 9023;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100177;PES MARRON LBU HBS C-I RM-8119;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100178;PES VERDE RAL 6001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100179;PES NARANJA RAL 2000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100180;PES GRIS RAL 7030 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100181;PES VERDE RAL 6018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100182;PES GRIS S/M RCA1 (EL CAIRO);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100183;PES VERDE RAL 6026 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100184;PES VERDE RAL 6028 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100185;PES GRIS RAL 7023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
